Sec	Player	Activity
2	7	n14
4	5	n14
7	6	n14
9	5	n14
10	4	n14
12	3	n14
13	7	n14
14	4	n14
15	5	n14
16	7	n11
17	6	n10
17	6	n14
18	5	n14
19	4	n14
20	3	n10
22	3	n14
23	4	n10
24	4	n14
26	5	n14
27	6	n14
27	6	n10
28	7	n11
29	3	n14
29	4	n10
30	4	n13
31	4	n14
33	3	n10
33	3	n14
35	6	n10
36	6	n2
42	7	n14
42	5	n14
44	4	n14
46	3	n14
48	2	n10
48	2	n14
49	3	n10
49	3	n14
50	4	n14
52	5	n10
52	5	n14
53	5	n6
54	6	n2
80	2	o6
82	4	o6
83	7	o6
83	1	v1
86	1	v6
86	1	n14
89	4	n14
92	3	n13
92	3	n1
93	3	n12
104	7	n14
105	5	n14
106	6	n14
107	5	n14
108	4	n14
109	2	n11
111	3	n10
111	3	n14
113	7	n11
113	4	n10
113	4	n14
114	3	n14
116	5	n10
117	5	n13
122	7	n14
123	3	n14
125	4	n14
126	2	n11
129	2	n10
130	2	n2
136	2	o6
141	5	o6
160	2	o6
161	5	o6
164	4	o6
164	7	o6
186	2	o6
195	7	o6
196	7	o7
198	3	o6
199	1	v2
201	1	v6
201	1	n14
202	4	n14
203	5	n14
205	3	n14
207	5	n13
208	5	n3
232	2	o6
238	2	o6
238	7	o6
238	4	o6
238	7	o6
238	6	o6
239	5	o7
249	5	o6
249	4	o6
250	1	v1
252	1	v2
253	5	o1
254	5	n14
255	1	n14
257	4	n14
259	3	n14
262	5	n14
263	6	n14
265	7	n14
266	5	n14
267	4	n14
269	3	n14
270	2	n14
271	7	n11
271	3	n14
273	4	n14
274	5	n14
275	6	n14
276	5	n13
276	5	n14
278	3	n10
278	7	n11
280	3	n14
284	7	n14
285	3	n14
289	2	n10
289	2	n13
289	2	n14
291	5	n14
292	4	n10
292	4	n14
293	5	n1
319	2	o6
320	2	o7
322	5	o6
322	7	o6
324	2	o6
325	5	o6
326	4	o3
326	1	v1
329	1	o8
340	4	n14
342	5	n14
344	6	n14
345	5	n14
346	4	n14
347	3	n14
349	2	n14
350	3	n14
352	4	n14
353	5	n14
354	6	n10
354	6	n14
355	5	n14
355	4	n11
357	4	n10
358	4	n14
359	7	n11
359	6	n10
361	6	n13
361	6	n1
368	7	n14
370	5	n14
371	4	n14
371	3	n10
372	3	n14
372	4	n10
373	4	n14
374	3	n14
375	4	n14
377	5	n10
378	5	n13
378	5	n4
380	5	n12
407	2	o6
408	7	o6
408	4	o6
410	5	o6
410	4	o6
411	2	o6
412	7	o6
413	4	o6
413	7	o7
414	1	v1
417	1	v6
417	1	n14
419	4	n14
421	3	n14
423	3	n13
424	7	n8
428	1	v3
430	1	n14
432	7	n13
432	7	n14
434	3	n13
434	3	n3
461	2	n5
487	2	o6
490	7	o6
490	5	o6
492	7	o7
492	7	o7
502	2	o6
503	5	o6
504	2	o6
504	7	o6
510	5	o6
510	7	o1
511	3	o6
513	3	o3
514	1	v4
523	7	n14
524	4	n14
528	3	n14
529	4	n14
530	5	n14
531	6	n14
533	5	n14
534	4	n14
535	2	n14
537	3	n14
538	4	n14
539	5	n14
540	6	n14
541	5	n14
542	4	n14
544	2	n11
545	3	n10
546	3	n14
546	4	n10
546	4	n14
547	5	n10
548	5	n14
550	6	n10
550	6	n14
552	3	n10
553	3	n4
572	3	n13
575	4	n14
576	5	n14
578	7	n14
580	3	n14
583	2	n14
585	3	n14
586	4	n14
587	5	n14
588	6	n14
589	5	n14
590	4	n10
591	4	n14
591	3	n10
592	3	n8
595	7	o7
600	5	o6
