Start[sec]	End [sec]	Activity
0	17	nfpn
17	36	nfan
36	43	t
43	48	nfpn
48	54	nfan
54	67	ovpc
67	80	obg
80	83	obz
83	91	nks
91	103	t
103	110	nfpn
110	117	nfan
117	122	t
122	125	nfpn
125	130	nfan
130	139	ovpp
139	142	obz
142	149	t
149	159	obg
159	165	obz
165	177	t
177	184	obg
184	187	obz
187	189	t
189	193	obg
193	198	obz
198	207	nks
207	221	ovpc
221	232	obg
232	239	obz
239	245	t
245	248	obg
248	253	obz
253	263	nks
263	275	nfpn
275	280	nfan
280	284	t
284	294	nfan
294	310	ovpc
310	319	obg
319	327	obz
327	348	nppri
348	354	nfpn
354	361	nfan
361	368	t
368	379	nfan
379	394	ovpc
394	405	obg
405	414	obz
414	424	nks
424	429	ovpp
429	435	nks
435	462	t
462	472	ovpc
472	485	obg
485	494	obz
494	498	t
498	502	obg
502	513	obz
513	531	nppri
531	544	nfpn
544	555	nfan
555	573	t
573	584	nppri
584	589	nfpn
589	592	nfan
592	600	ovpp
